,Unnamed: 0,title,description,y,upload_date,uploader,uploader_id,uploader_url,channel_id,channel_url,duration,view_count,average_rating,webpage_url,is_live,like_count,dislike_count,channel,extractor,n_entries,playlist,playlist_id,thumbnail,fps,height,url,width,query,p
307,312,Clinical Text Classification on   Medical Transcription Kaggle Dataset #NLproc,In this video I will be explaining about Clinical text classification using the Medical Transcriptions dataset from ,1,20200716,RSREETech - NLP/AI/ML simplified,UCPAfv1GeraR1WM0608He6ow,http://www.youtube.com/channel/UCPAfv1GeraR1WM0608He6ow,UCPAfv1GeraR1WM0608He6ow,https://www.youtube.com/channel/UCPAfv1GeraR1WM0608He6ow,1320,1352,4.7777777,https://www.youtube.com/watch?v=EvHncKQ96jo,,34.0,2.0,,youtube,438,kaggle,kaggle,https://i.ytimg.com/vi_webp/EvHncKQ96jo/maxresdefault.webp,30,720,https://r12---sn-8p8v-bg0s.googlevideo.com/videoplayback?expire=1612936134&ei=Zh8jYLTxAoub1sQP--Kl6As&ip=2804%3A431%3Ac7df%3Ab0c0%3Af1f5%3Aa746%3Ac740%3A8618&id=o-AHl38C6kb3rRcCxZKZ4s7Per_NZVgtP5-oc8fn-4_hGQ&itag=22&source=youtube&requiressl=yes&mh=bF&mm=31%2C29&mn=sn-8p8v-bg0s%2Csn-bg07dnz7&ms=au%2Crdu&mv=m&mvi=12&pl=47&initcwndbps=451250&vprv=1&mime=video%2Fmp4&ns=FI_BBOr721IgMSqrA5MJBtQF&ratebypass=yes&dur=1319.520&lmt=1594807747613667&mt=1612914047&fvip=6&c=WEB&txp=6216222&n=rYA1bNECA9YnjstkIA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Cns%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRAIgQuJkAiaaKc_WSxTlOOu5D9L-lUF_NUPxTDDHD3hbnRQCIEm-IHS-JDALzozS-z_j8NzNW-mnMSRw_r12Rktf8NBT&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRgIhAKIUIl33x6jEoHcrKPpEDQKMJdmrI1vp2LdM7b46fcp1AiEAumwRGcWVSfznmNQXZV7fkBvqHljZc8GTHjmTDPyvTCg%3D,1280,kaggle,0.558
324,329,Real Talk with Facebook Data Scientist,0:25 Journey to becoming a ,0,20190904,Springboard,UCqd6TofKNjqagInm5Waeu7w,http://www.youtube.com/channel/UCqd6TofKNjqagInm5Waeu7w,UCqd6TofKNjqagInm5Waeu7w,https://www.youtube.com/channel/UCqd6TofKNjqagInm5Waeu7w,638,42421,4.9357233,https://www.youtube.com/watch?v=kZRX4wldSZM,,796.0,13.0,,youtube,559,data+science,data+science,https://i.ytimg.com/vi_webp/kZRX4wldSZM/maxresdefault.webp,30,720,https://r4---sn-8p8v-bg0ey.googlevideo.com/videoplayback?expire=1612935516&ei=_BwjYNOED9Pi1AG7qZTwCA&ip=2804%3A431%3Ac7df%3Ab0c0%3Af1f5%3Aa746%3Ac740%3A8618&id=o-AETIfIzDEfnkFkOci7lZzuFbv_UHulDDPsNXWcrkyeaI&itag=22&source=youtube&requiressl=yes&mh=W0&mm=31%2C29&mn=sn-8p8v-bg0ey%2Csn-bg07dn66&ms=au%2Crdu&mv=m&mvi=4&pl=47&initcwndbps=440000&vprv=1&mime=video%2Fmp4&ns=7JonJPjeDjV07sIhTl7y_k8F&cnr=14&ratebypass=yes&dur=637.225&lmt=1567619371840788&mt=1612913586&fvip=4&c=WEB&txp=5316222&n=89OZmQ7OrWPnlFwcwc&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Cns%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRAIgThUel3CdYDGPJ7GaLRrrmw5uxuXM32gljkrInG7Iq_ACIHhrIGli7kby_RqeNOC8YoJIeIUd3XmRa1Vx2WND1e0I&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRAIgFfOBsRqSyL3nTVcewjqeAsJ-SwCHeO_ipDD7cw6UbTkCIHcrCd8UQw14JMOeRU-ohmY_IUvgVrWdcvPTZDBDxzel,1280,data+science,0.575
327,332,Solution using TPOT (Automated Machine Learning) | [Kaggle] Titanic Solution using Python #21,"In this video, we will do some Automated Machine Learning using TPOT library. TPOT is a Python Automated Machine Learning ...",1,20200611,Kunaal Naik,FxExcel,http://www.youtube.com/user/FxExcel,UCZN-xTV6lFwfJHl6ZId_dOg,https://www.youtube.com/channel/UCZN-xTV6lFwfJHl6ZId_dOg,441,297,5.0,https://www.youtube.com/watch?v=mk-jq_mMw7A,,11.0,0.0,,youtube,438,kaggle,kaggle,https://i.ytimg.com/vi_webp/mk-jq_mMw7A/maxresdefault.webp,30,720,https://r9---sn-8p8v-bg0s.googlevideo.com/videoplayback?expire=1612936202&ei=qR8jYIi-O8-O-LAPvfO52A0&ip=2804%3A431%3Ac7df%3Ab0c0%3Af1f5%3Aa746%3Ac740%3A8618&id=o-AECSAdYUw1aplx9iVq8J_6zW_cF563IqQLMLX3rZXr7I&itag=22&source=youtube&requiressl=yes&mh=2Y&mm=31%2C29&mn=sn-8p8v-bg0s%2Csn-bg07dn6d&ms=au%2Crdu&mv=m&mvi=9&pl=47&initcwndbps=456250&vprv=1&mime=video%2Fmp4&ns=avQQ1gK4u5H27F0xQCkMOIkF&ratebypass=yes&dur=441.063&lmt=1586077713270682&mt=1612914284&fvip=3&c=WEB&txp=6216222&n=Q9A3nhHou7ctnrQBJe&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Cns%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRQIhAMAZQPZ_JC6hue6p6dQB_dOOk_kUFadPUg6pNl05PRiAAiAs0KJDvqTbh4hACrBsP-ySrwt1a9VBZr1cIuZ3NYsgVg%3D%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIhALkzSSY9H6k9IKsfj1AjoBiBXun_hUDMS3d-J7RfKRJ7AiBYs7VGchhhD6dca_OaZsoEvwjCw_l5UPY3bv8WJ0I5NQ%3D%3D,1280,kaggle,0.446
333,338,"Westpac IQ Interview: Anthony Goldbloom, CEO Kaggle",Kaggle,0,20190617,Westpac Banking,WestpacBanking,http://www.youtube.com/user/WestpacBanking,UC1ah9rvFcvuy-BHsfnPccYw,https://www.youtube.com/channel/UC1ah9rvFcvuy-BHsfnPccYw,479,307,5.0,https://www.youtube.com/watch?v=pK56bD1p2Mg,,,,,youtube,438,kaggle,kaggle,https://i.ytimg.com/vi_webp/pK56bD1p2Mg/maxresdefault.webp,30,720,https://r4---sn-8p8v-bg0ey.googlevideo.com/videoplayback?expire=1612936685&ei=jSEjYPmtFYKG1sQPgOGAwAg&ip=2804%3A431%3Ac7df%3Ab0c0%3Af1f5%3Aa746%3Ac740%3A8618&id=o-ANsMgcyUzQfM6PcECpF4Cx4XTPV1AMB9rzHcJXtZ1BeY&itag=22&source=youtube&requiressl=yes&mh=3C&mm=31%2C29&mn=sn-8p8v-bg0ey%2Csn-bg0ezn7e&ms=au%2Crdu&mv=m&mvi=4&pl=47&initcwndbps=458750&vprv=1&mime=video%2Fmp4&ns=LFcwoOTvsrYxrTzM-ekuPbYF&cnr=14&ratebypass=yes&dur=478.005&lmt=1560834541218658&mt=1612914770&fvip=4&c=WEB&txp=2211222&n=Vj4Uv4ksWnz7hH0v2A&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Cns%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRQIhAOIe1OtrfQjNFSuYEWPycfzMPtNs75hNJBEySMbzdGAkAiAq5GPrNu9futsc4-c1Pj6fSELsF7zrbwUgnbzZGBETUA%3D%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIgaADU2_m25fUQ2jYTQMyB2kjG8umC9OYlth8NV5y1e_cCIQCdF_CgL7GxWQ1eZGIMnNo7TXZ4WRWCltfs5xSf79k8_Q%3D%3D,1280,kaggle,0.505
335,340,Kaggle Competition - Titanic Dataset (Simple Implementation- Part 1),Code: clc clear all close all warning off x=readtable('train.csv'); x.PassengerId=[]; x.Name=[]; x.Ticket=[]; x.Cabin=[] ...,1,20210106,Knowledge Amplifier,UCLAvd_eAgG651taJPdKxD1A,http://www.youtube.com/channel/UCLAvd_eAgG651taJPdKxD1A,UCLAvd_eAgG651taJPdKxD1A,https://www.youtube.com/channel/UCLAvd_eAgG651taJPdKxD1A,1444,68,5.0,https://www.youtube.com/watch?v=mz0sgUcql-g,,6.0,0.0,,youtube,438,kaggle,kaggle,https://i.ytimg.com/vi_webp/mz0sgUcql-g/maxresdefault.webp,24,720,https://r16---sn-8p8v-bg0s.googlevideo.com/videoplayback?expire=1612935794&ei=Eh4jYOLrFO6N1sQP6Mq-qAQ&ip=2804%3A431%3Ac7df%3Ab0c0%3Af1f5%3Aa746%3Ac740%3A8618&id=o-ACW-Hd5KY_x6WtjiasDOWGpjBPBGTv62f5EETYVMRQP3&itag=22&source=youtube&requiressl=yes&mh=MK&mm=31%2C29&mn=sn-8p8v-bg0s%2Csn-bg0eznek&ms=au%2Crdu&mv=m&mvi=16&pl=47&initcwndbps=418750&vprv=1&mime=video%2Fmp4&ns=E-4T6wDXZpB_ww3WKXkGanEF&ratebypass=yes&dur=1443.886&lmt=1609946778659880&mt=1612913586&fvip=3&c=WEB&txp=6216222&n=2T0oWuMHERKIsFaZX4&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Cns%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRgIhAJMqYHSys29xnAeZwLjMr3q5KuBbVMf-7AnhjNbA0zSWAiEAlEbUovKLItd3-i6_ftALgzHF2munoCO5wSd6qkUEj9c%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRAIgfeBixy_131x5aLvbRH9b5dTjf4X71zd3v2VY4f3nUtUCIGXpum4MlVK5d4t8fv6XiRPR4XaDWxihQU3MlsDhZ0CN,1280,kaggle,0.448
343,348,Classify the type of football! Image Classification | Kaggle,Dataset link: https://www.,1,20201031,Knowledge Amplifier,UCLAvd_eAgG651taJPdKxD1A,http://www.youtube.com/channel/UCLAvd_eAgG651taJPdKxD1A,UCLAvd_eAgG651taJPdKxD1A,https://www.youtube.com/channel/UCLAvd_eAgG651taJPdKxD1A,1043,143,5.0,https://www.youtube.com/watch?v=mYF2GH-JMWs,,9.0,0.0,,youtube,438,kaggle,kaggle,https://i.ytimg.com/vi_webp/mYF2GH-JMWs/maxresdefault.webp,24,720,https://r14---sn-8p8v-bg0s.googlevideo.com/videoplayback?expire=1612935905&ei=gR4jYI-tGZeN1sQPpJeCgA8&ip=2804%3A431%3Ac7df%3Ab0c0%3Af1f5%3Aa746%3Ac740%3A8618&id=o-AJA6WlG34oc56s_3dutTsO1Td4tNpBRXQORZRyeUCnF8&itag=22&source=youtube&requiressl=yes&mh=AD&mm=31%2C29&mn=sn-8p8v-bg0s%2Csn-bg0ezn7y&ms=au%2Crdu&mv=m&mvi=14&pl=47&initcwndbps=451250&vprv=1&mime=video%2Fmp4&ns=-ygff4fNQs8W-0bzuGRCJksF&cnr=14&ratebypass=yes&dur=1042.761&lmt=1612090194869671&mt=1612914047&fvip=4&c=WEB&txp=6211222&n=hxMJ27waYlNyhBYOVi&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Cns%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRAIgLFS2uIWHd_18kV9m8r08yFGkxw2MnozifWDURub37LkCIC2E1Xxb9ZtB68UJSZbFkLX2QgT72dZbuxmbSvuFsHmM&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRgIhAJ4d1robb42j9bR3G3cendLoMa5-_m19YL6mkJAObRRDAiEAgLGLAFmDkzywhdj_f63eo1wmhlU8jdw6jPXckhaQRTo%3D,1280,kaggle,0.47
361,366,Tips and Tricks for Machine Learning | by Stanislav Semenov | Kaggle Days Paris,"Stanislav Semenov ""Tips and tricks for Machine Learning"" ",0,20190516,Kaggle,kaggledotcom,http://www.youtube.com/user/kaggledotcom,UCSNeZleDn9c74yQc-EKnVTA,https://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA,1645,2006,4.8095236,https://www.youtube.com/watch?v=ldNZapF8PDY,,60.0,3.0,,youtube,438,kaggle,kaggle,https://i.ytimg.com/vi_webp/ldNZapF8PDY/maxresdefault.webp,30,720,https://r12---sn-8p8v-bg0s.googlevideo.com/videoplayback?expire=1612936793&ei=-SEjYN3ION-L1sQPpuC2kAk&ip=2804%3A431%3Ac7df%3Ab0c0%3Af1f5%3Aa746%3Ac740%3A8618&id=o-ACmt_E8IzwdTM-CdOhyZhSaJYls-pcUGXiyIFIWevbwn&itag=22&source=youtube&requiressl=yes&mh=iZ&mm=31%2C29&mn=sn-8p8v-bg0s%2Csn-bg0ezn7y&ms=au%2Crdu&mv=m&mvi=12&pl=47&initcwndbps=451250&vprv=1&mime=video%2Fmp4&ns=5nSM6xaXgrM0PWCIeDDVukUF&cnr=14&ratebypass=yes&dur=1644.878&lmt=1557860969414033&mt=1612914998&fvip=3&c=WEB&txp=2316222&n=219BD36jnlLlIoXUcW&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Cns%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRQIgYeixN5kamKPIgiCuBCJLNQQtieiflbTtr1NtvLYRH04CIQDrZY6ZaMVL-k9vTz6pS1K0-jlmlkX8T4VOPG1EYMiM8w%3D%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIhAN9hta5HBsAUV_V9f8S-8LjmPPsArEK6SuhUkvUy2JRyAiARU4-C3dGCuSVSLfPlfgUH9oJTHpTCi17cjxn5aDcyjg%3D%3D,1280,kaggle,0.556
366,371,"Dmitry Larko | Kaggle, Applying Kaggle to Real world | AutoML | CTDS.Show #74",Chai Time Data Science Playlist: https://www.youtube.com/playlist?list=PLLvvXm0q8zUbiNdoIazGzlENMXvZ9bd3x Audio ...,1,20200614,H2O.ai,0xdata,http://www.youtube.com/user/0xdata,UCk6ONJlPzjw3DohAeMSgsng,https://www.youtube.com/channel/UCk6ONJlPzjw3DohAeMSgsng,4036,461,5.0,https://www.youtube.com/watch?v=aC9t9D7HpYE,,,,,youtube,438,kaggle,kaggle,https://i.ytimg.com/vi_webp/aC9t9D7HpYE/maxresdefault.webp?v=5ee644db,25,720,https://r11---sn-8p8v-bg0s.googlevideo.com/videoplayback?expire=1612936186&ei=mh8jYK68LsvMwgTbs4Ew&ip=2804%3A431%3Ac7df%3Ab0c0%3Af1f5%3Aa746%3Ac740%3A8618&id=o-AFf-DFaaf7zH_5gcN79WAjiykTzg-KvBrh3BBfkiqF4I&itag=22&source=youtube&requiressl=yes&mh=46&mm=31%2C29&mn=sn-8p8v-bg0s%2Csn-bg0eznls&ms=au%2Crdu&mv=m&mvi=11&pcm2cms=yes&pl=47&initcwndbps=456250&vprv=1&mime=video%2Fmp4&ns=QDsa9LMRRgR56yAv8sU8q-AF&ratebypass=yes&dur=4035.535&lmt=1592149561744845&mt=1612914284&fvip=1&c=WEB&txp=6216222&n=ve1Tbto17FvkO3wiCU&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Cns%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRQIgXqD1baKxkH6psx0JA8dWAZfYu2UgooWn7Yr3OOIHqCQCIQDPJJJ3RV0jaKBtW6EYxFqRp55xGL2qcwVM0zk9j4NKVw%3D%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRAIgBcog_tJ48Q3LIAFSiDoTee4B_NKgyqhubYLZeqoh4yACICQjfUB6Rn4A7E_vQBwMqC9RLjI35eaygXrZ3tmilURV,1280,kaggle,0.439
372,377,"Comprehensive, Hands-on, Industry experienced mentor-driven Kaggle course| Apply bit.ly/cll-k-course",kaggle,0,20210116,Co-learning Lounge,UC0ZkwV6cGrkgO-f2V_Tvw_Q,http://www.youtube.com/channel/UC0ZkwV6cGrkgO-f2V_Tvw_Q,UC0ZkwV6cGrkgO-f2V_Tvw_Q,https://www.youtube.com/channel/UC0ZkwV6cGrkgO-f2V_Tvw_Q,46,425,5.0,https://www.youtube.com/watch?v=QBg7WT-1F5M,,4.0,0.0,,youtube,438,kaggle,kaggle,https://i.ytimg.com/vi_webp/QBg7WT-1F5M/maxresdefault.webp,30,720,https://r16---sn-8p8v-bg0s.googlevideo.com/videoplayback?expire=1612935769&ei=-R0jYP7CIPLp1AGZjZWQCA&ip=2804%3A431%3Ac7df%3Ab0c0%3Af1f5%3Aa746%3Ac740%3A8618&id=o-APqBMGAE7KjEDmMKRif60IvvdUmI0vUPVXCFt071w8UE&itag=22&source=youtube&requiressl=yes&mh=Uq&mm=31%2C29&mn=sn-8p8v-bg0s%2Csn-bg0ezne7&ms=au%2Crdu&mv=m&mvi=16&pcm2cms=yes&pl=47&initcwndbps=418750&vprv=1&mime=video%2Fmp4&ns=rBFGFHN2D6LbuZmji8Ma-WgF&ratebypass=yes&dur=45.069&lmt=1610792472147537&mt=1612913586&fvip=3&c=WEB&txp=6216222&n=OmS0jOP8aBLvdlbE3k&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Cns%2Cratebypass%2Cdur%2Clmt&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRQIhAL9QAOBq6jpEVXqYfdPqpnD70OZ89iuK-BdWQH3zfpwqAiBNzB8bI_64h5CRj-BTwWh_WfVmwuTTR7mpd7Z8USPbsw%3D%3D&sig=AOq0QJ8wRAIga7RUgMluGdifrGBSNmZaUKNAcPdzpq761GgZ7P3X2lMCIF-ppzJAajJ4OmDj1-HihDuQKFurdmVjACeKONZzmWd_,1280,kaggle,0.423
385,390,Kaggle Live-Coding: Code Reviews! | Kaggle,Today we'll be reviewing code instead of writing our own. We'll be looking for: bugs the authors might have missed places we ...,0,20190301,Kaggle,kaggledotcom,http://www.youtube.com/user/kaggledotcom,UCSNeZleDn9c74yQc-EKnVTA,https://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA,3881,1061,5.0,https://www.youtube.com/watch?v=i6kVLu_Jx7M,,24.0,0.0,,youtube,438,kaggle,kaggle,https://i.ytimg.com/vi_webp/i6kVLu_Jx7M/maxresdefault.webp?v=5c7d6e32,30,720,https://r1---sn-8p8v-bg0s.googlevideo.com/videoplayback?expire=1612936817&ei=ESIjYJaDBZKU1sQPgLGqmAQ&ip=2804%3A431%3Ac7df%3Ab0c0%3Af1f5%3Aa746%3Ac740%3A8618&id=o-ANn4k4xbyZsdUz3C1mbFoEfZQpjLBxfV6R7gSPmcWbmE&itag=22&source=youtube&requiressl=yes&mh=q4&mm=31%2C29&mn=sn-8p8v-bg0s%2Csn-bg0eznll&ms=au%2Crdu&mv=m&mvi=1&pcm2cms=yes&pl=47&initcwndbps=460000&vprv=1&mime=video%2Fmp4&ns=Gy7ls29Xp_u2rHRBF4sed0AF&cnr=14&ratebypass=yes&dur=3880.263&lmt=1551574693244831&mt=1612914770&fvip=1&c=WEB&txp=5432432&n=r4ddvSQ_--5shstcQ7&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cvprv%2Cmime%2Cns%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AOq0QJ8wRAIgPxBFWjMjVau79y2Gml8CDpisusehrp-HD3MfZZdsmIkCIGdj-tkyOXrU2PJtJ9BHrE3g7irXU1ovFJzAl6shvHf1&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Cinitcwndbps&lsig=AG3C_xAwRAIgQv9In6MI3Cal55w585QMYPECoEUqRfdxbWeyQpGVqo4CIFEw3As2wphpi2ymO8ZGg4C2pV5GtgN8uOVNlOVNmKhU,1280,kaggle,0.503
